model_parameters,model_rank,auc_score_mean,auc_score_std,auc_score_cv
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 100, 'scale_pos_weight': 5, 'subsample': 1.0}",350,0.7940698496894036,0.015113215557555314,0.019032602186654955
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 0.6}",509,0.7924901943196264,0.014750471915435765,0.01861281315676017
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 0.8}",278,0.7948075136872875,0.014243687715835097,0.017920927357311312
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 1.0}",660,0.7914589794132775,0.016321228795123502,0.020621698937856158
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 50, 'scale_pos_weight': 1, 'subsample': 0.6}",205,0.7955828796525761,0.017031149785952642,0.0214071345946886
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 50, 'scale_pos_weight': 1, 'subsample': 0.8}",280,0.7947979272352371,0.01667994752757241,0.02098640038681886
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 50, 'scale_pos_weight': 1, 'subsample': 1.0}",451,0.7931125375367168,0.014761586428900488,0.01861222175953448
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 50, 'scale_pos_weight': 5, 'subsample': 0.6}",252,0.7950777303481757,0.01473008386120916,0.018526595952773884
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 50, 'scale_pos_weight': 5, 'subsample': 0.8}",321,0.7944069814535631,0.015350216047932734,0.01932286146308248
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 50, 'scale_pos_weight': 5, 'subsample': 1.0}",627,0.7917271971608142,0.014728864192401185,0.01860345867265879
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 50, 'scale_pos_weight': 10, 'subsample': 0.6}",414,0.7933975440033105,0.014672284224830993,0.018492979132249208
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 50, 'scale_pos_weight': 10, 'subsample': 0.8}",466,0.7929656858637921,0.014748470117910613,0.018599127781733497
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 50, 'scale_pos_weight': 10, 'subsample': 1.0}",912,0.7894468213205169,0.014469788566156652,0.018329022519785267
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.6}",20,0.7990250060820437,0.016830877456519126,0.021064268738031126
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.8}",16,0.7994531643490405,0.01638113603398858,0.020490426161896575
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 1.0}",156,0.7962421663075498,0.014313882236498501,0.017976795053290032
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 100, 'scale_pos_weight': 5, 'subsample': 0.6}",136,0.7964724696792507,0.01476014551449185,0.01853189667740298
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 100, 'scale_pos_weight': 5, 'subsample': 0.8}",71,0.7975773476560345,0.015520178642276223,0.019459151752350794
